"","Coord: 1","Coord: 2","Coord: 3","Coord: 4","Coord: 5","Ctr: 1","Ctr: 2","Ctr: 3","Ctr: 4","Ctr: 5","Cor: 1","Cor: 2","Cor: 3","Cor: 4","Cor: 5"
"127",-0.43,-0.07,-0.22,-0.12,-0.01,1,0,0,0,0,NA,NA,NA,NA,NA
"128",-0.11,0.77,-0.13,-0.13,0,0,2,0,0,0,NA,NA,NA,NA,NA
"129",-0.15,-0.29,-0.07,-0.01,-0.01,0,0,0,0,0,NA,NA,NA,NA,NA
"130",-0.23,-0.43,0.01,-0.1,-0.16,0,1,0,0,0,NA,NA,NA,NA,NA
"131",-0.81,0.36,-0.04,0.11,0.22,2,1,0,0,0,NA,NA,NA,NA,NA
"132",-0.02,-0.45,0.03,-0.11,-0.11,0,1,0,0,0,NA,NA,NA,NA,NA
"133",0.08,-0.4,-0.19,-0.21,-0.13,0,1,0,0,0,NA,NA,NA,NA,NA
"134",0.5,-0.5,0.15,0.12,-0.07,1,1,0,0,0,NA,NA,NA,NA,NA
"135",0.83,-0.06,0.37,0.18,0.23,2,0,1,0,0,NA,NA,NA,NA,NA
"136",0.19,-0.17,-0.07,0,-0.11,0,0,0,0,0,NA,NA,NA,NA,NA
"137",0.37,0.25,-0.17,-0.1,-0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"138",-0.65,0.23,0.16,-0.14,0.01,1,0,0,0,0,NA,NA,NA,NA,NA
"139",-0.16,-0.48,-0.11,-0.22,-0.02,0,1,0,0,0,NA,NA,NA,NA,NA
"140",0.12,-0.41,0.07,0.1,-0.12,0,1,0,0,0,NA,NA,NA,NA,NA
"141",-0.03,0.18,-0.29,-0.34,-0.28,0,0,0,1,0,NA,NA,NA,NA,NA
"142",0.28,0.3,-0.28,-0.17,-0.24,0,0,0,0,0,NA,NA,NA,NA,NA
"143",0.36,-0.15,-0.12,-0.13,-0.19,0,0,0,0,0,NA,NA,NA,NA,NA
"144",-0.17,-0.56,-0.05,-0.02,0.01,0,1,0,0,0,NA,NA,NA,NA,NA
"145",0.48,0.61,0.09,-0.05,0.07,1,2,0,0,0,NA,NA,NA,NA,NA
"146",-0.4,-0.22,0.24,0.34,0.12,0,0,0,1,0,NA,NA,NA,NA,NA
"147",-0.05,-0.06,-0.17,-0.03,-0.09,0,0,0,0,0,NA,NA,NA,NA,NA
"148",0.55,0.37,-0.11,-0.07,-0.16,1,1,0,0,0,NA,NA,NA,NA,NA
"149",-0.28,0.12,0.13,0.35,-0.12,0,0,0,1,0,NA,NA,NA,NA,NA
"150",0.52,0.21,-0.21,-0.17,-0.27,1,0,0,0,0,NA,NA,NA,NA,NA
"151",0.76,-0.38,0.32,0.18,0.13,2,1,1,0,0,NA,NA,NA,NA,NA
"152",0.26,-0.61,0.01,-0.04,-0.15,0,2,0,0,0,NA,NA,NA,NA,NA
"153",0,0.11,-0.09,0.09,0.06,0,0,0,0,0,NA,NA,NA,NA,NA
